Irms1,Irms2,Irms3,
0.227741,0.227215,0.227742,
0.230463,0.230300,0.230611,
0.224094,0.224418,0.224763,
0.223792,0.223348,0.223350,
0.227887,0.228200,0.228162,
0.228963,0.228794,0.228652,
0.226021,0.225997,0.226416,
0.229593,0.228872,0.228360,
0.226853,0.226235,0.227097,
0.224718,0.224053,0.224189,
0.230077,0.230429,0.229118,
0.229525,0.229015,0.229552,
0.227021,0.226837,0.227118,
0.229403,0.228284,0.229704,
0.226730,0.227082,0.226766,
0.222760,0.222207,0.222033,
0.226290,0.225416,0.225846,
0.229964,0.230439,0.230058,
0.228957,0.229077,0.228969,
0.228579,0.228381,0.228465,
0.223121,0.223373,0.223846,
0.231645,0.231301,0.230529,
0.225357,0.225338,0.226087,
0.225789,0.225579,0.226019,
0.232301,0.231152,0.231127,
0.225550,0.225262,0.225216,
0.224655,0.223584,0.225217,
0.231952,0.232207,0.230556,
0.223780,0.224531,0.223696,
0.225311,0.224522,0.224666,
0.233282,0.233285,0.232458,
0.224253,0.224341,0.223903,
0.225434,0.224664,0.224890,
0.228867,0.230378,0.229518,
0.226845,0.225894,0.226080,
0.225166,0.227094,0.226298,
0.227047,0.225863,0.226873,
0.231375,0.231682,0.229668,
0.225843,0.226615,0.225274,
0.223710,0.224093,0.223692,
0.233067,0.232533,0.231544,
0.223179,0.223705,0.222865,
0.224248,0.223847,0.224334,
0.230349,0.231877,0.231869,
0.225902,0.225875,0.225334,
0.225895,0.225570,0.227126,
0.225973,0.227632,0.228027,
0.228116,0.228164,0.227903,
0.225875,0.225268,0.225646,
0.225275,0.226589,0.226504,
0.231184,0.230588,0.231026,
0.224744,0.226401,0.224901,
0.224211,0.225277,0.226099,
0.232548,0.232395,0.232507,
0.223747,0.223612,0.223641,
0.224213,0.223821,0.224664,
0.231772,0.231424,0.232103,
0.225768,0.225545,0.225650,
0.226585,0.226662,0.227309,
0.228022,0.227413,0.227732,
0.228605,0.227706,0.228448,
0.225252,0.225381,0.225714,
0.224282,0.224000,0.225738,
0.231705,0.232609,0.232396,
0.224443,0.225418,0.224045,
0.224682,0.224569,0.223103,
0.230952,0.231508,0.231161,
0.224965,0.226197,0.225562,
0.226615,0.225463,0.225872,
0.226865,0.227302,0.227146,
0.231022,0.230707,0.230158,
0.226324,0.226871,0.225626,
0.223632,0.224318,0.224098,
0.232575,0.231829,0.232899,
0.223269,0.223637,0.223989,
0.225924,0.223942,0.224567,
0.229806,0.230204,0.230455,
0.228161,0.227625,0.226906,
0.227403,0.227295,0.226561,
0.225409,0.225312,0.225509,
0.230742,0.231513,0.231519,
0.224561,0.223764,0.223829,
0.224515,0.224532,0.222517,
0.233036,0.232302,0.232251,
0.224931,0.224687,0.223845,
0.226408,0.227437,0.225853,
0.228235,0.228619,0.229008,
0.229574,0.228399,0.227868,
0.223984,0.225523,0.226296,
0.223672,0.223651,0.223334,
0.232045,0.232463,0.232041,
0.225602,0.225452,0.224227,
0.226633,0.225550,0.225291,
0.229493,0.229509,0.229617,
0.228263,0.228235,0.227709,
0.225369,0.224872,0.225079,
0.224075,0.224602,0.224488,
0.232871,0.233698,0.232498,
0.224837,0.223456,0.224933,
0.225600,0.225560,0.224900,
0.230646,0.230538,0.230699,
0.226543,0.225389,0.226266,
0.225605,0.226182,0.225361,
0.228397,0.228474,0.228175,
0.228562,0.227455,0.227831,
0.226893,0.226484,0.225519,
0.225700,0.225435,0.226197,
0.231927,0.231455,0.230463,
0.223708,0.223973,0.224831,
0.224017,0.224361,0.223803,
0.233869,0.232776,0.233004,
0.224078,0.224693,0.223539,
0.224618,0.225473,0.225156,
0.231379,0.230187,0.231796,
0.225295,0.226009,0.225711,
0.225858,0.225178,0.225924,
0.227221,0.228327,0.228634,
0.229474,0.228900,0.229325,
0.227251,0.226885,0.225563,
0.224126,0.225087,0.224306,
0.231947,0.232109,0.231901,
0.222999,0.224041,0.224195,
0.225391,0.224988,0.225251,
0.228297,0.228638,0.229112,
0.230298,0.229315,0.228539,
0.226145,0.225597,0.225362,
0.224334,0.224147,0.224405,
0.231919,0.232067,0.232109,
0.224575,0.224031,0.224934,
0.225424,0.226202,0.225417,
0.227224,0.226649,0.228289,
0.228012,0.228649,0.228356,
0.225950,0.226517,0.226551,
0.225221,0.224741,0.225035,
0.230550,0.230106,0.230812,
0.223972,0.224219,0.224040,
0.222965,0.224166,0.223272,
0.232516,0.231588,0.233804,
0.224290,0.224262,0.224286,
0.225876,0.226394,0.225993,
0.227485,0.227145,0.227468,
0.228965,0.228996,0.229374,
0.225333,0.225040,0.225517,
0.222876,0.223502,0.223158,
0.231867,0.232067,0.231993,
0.225856,0.225950,0.225574,
0.225640,0.226911,0.226528,
0.225174,0.225568,0.226095,
0.230740,0.231395,0.230535,
0.223890,0.224146,0.223380,
0.225281,0.225175,0.223943,
0.230303,0.229963,0.230475,
0.228483,0.228445,0.228020,
0.225515,0.226028,0.225230,
0.228262,0.228801,0.228294,
0.224289,0.223781,0.223088,
0.225847,0.224395,0.224174,
0.230853,0.231287,0.231592,
0.226447,0.225805,0.225667,
0.226112,0.226610,0.226854,
0.227539,0.228882,0.229365,
0.227968,0.227168,0.227741,
0.224975,0.226436,0.226215,
0.224472,0.225167,0.225069,
0.231323,0.231676,0.231585,
0.226255,0.226005,0.224974,
0.225036,0.224699,0.225053,
0.232766,0.233267,0.232910,
0.223291,0.224224,0.224495,
0.224571,0.225001,0.224012,
0.231173,0.231704,0.231455,
0.225419,0.224550,0.225524,
0.225512,0.225915,0.225475,
0.229374,0.229898,0.230448,
0.227319,0.226585,0.226769,
0.227086,0.226448,0.226167,
0.224274,0.224987,0.225395,
0.231761,0.230213,0.230142,
0.224678,0.225809,0.225265,
0.223916,0.224854,0.224225,
0.233432,0.232550,0.232249,
0.223754,0.224282,0.224377,
0.225760,0.223640,0.225999,
0.231116,0.229745,0.231180,
0.225216,0.225601,0.225068,
0.226433,0.226961,0.226631,
0.228589,0.228676,0.228598,
0.228163,0.228118,0.227134,
0.225573,0.226065,0.226131,
0.224625,0.225104,0.224877,
0.230399,0.229791,0.230174,
0.225893,0.224924,0.225237,
0.224481,0.224033,0.224812,
