Irms1,Irms2,Irms3,
0.216944,0.217428,0.217179,
0.257479,0.258665,0.259261,
0.235711,0.234378,0.233490,
0.225160,0.225130,0.223702,
0.213715,0.214390,0.214683,
0.236404,0.235736,0.235864,
0.233013,0.233531,0.233299,
0.233249,0.233192,0.233850,
0.234411,0.234082,0.234321,
0.235692,0.235977,0.235465,
0.237136,0.237160,0.236720,
0.234609,0.234520,0.234167,
0.234682,0.236195,0.235178,
0.236093,0.236319,0.235984,
0.234602,0.234311,0.233777,
0.234282,0.234090,0.234075,
0.235349,0.235273,0.236427,
0.236784,0.236172,0.236912,
0.232689,0.232778,0.232159,
0.233110,0.233847,0.232867,
0.236883,0.235125,0.234946,
0.236110,0.235680,0.235945,
0.232679,0.233322,0.233216,
0.234057,0.233394,0.234306,
0.233463,0.234011,0.233417,
0.231815,0.231872,0.233105,
0.230689,0.230615,0.232318,
0.233996,0.234105,0.234287,
0.232541,0.233700,0.232658,
0.232240,0.231905,0.232243,
0.232885,0.234220,0.235377,
0.233345,0.233841,0.234151,
0.235545,0.235744,0.235860,
0.235062,0.234831,0.235263,
0.236127,0.235641,0.235354,
0.231418,0.231077,0.230810,
0.236380,0.236476,0.237536,
0.232747,0.233367,0.233451,
0.234001,0.234031,0.234318,
0.234822,0.234335,0.235223,
0.234720,0.235377,0.235130,
0.229821,0.229851,0.230608,
0.239373,0.238018,0.237305,
0.236236,0.236365,0.235342,
0.235106,0.236120,0.235794,
0.234667,0.234379,0.235162,
0.234389,0.234646,0.234304,
0.235382,0.236209,0.235910,
0.236511,0.235424,0.235741,
0.234983,0.236279,0.236380,
0.235418,0.235629,0.235252,
0.233178,0.233279,0.234129,
0.235862,0.236087,0.236050,
0.236211,0.236964,0.236205,
0.235538,0.234489,0.236109,
0.235321,0.235587,0.235295,
0.233859,0.234712,0.234915,
0.234781,0.234838,0.234541,
0.236022,0.235972,0.236793,
0.237811,0.238649,0.238479,
0.238291,0.240045,0.239801,
0.233684,0.233893,0.233975,
0.232063,0.233801,0.233310,
0.232714,0.232099,0.232137,
0.232856,0.233304,0.233487,
0.235348,0.236109,0.236538,
0.235240,0.234199,0.234662,
0.235538,0.235634,0.235144,
0.235566,0.235805,0.235692,
0.235790,0.235116,0.235417,
0.234244,0.233617,0.233669,
0.234801,0.234842,0.233754,
0.232305,0.232285,0.232802,
0.235865,0.235742,0.236999,
0.230711,0.230407,0.231465,
0.234141,0.234368,0.234610,
0.235403,0.234008,0.235008,
0.232205,0.232445,0.232092,
0.228946,0.229539,0.229209,
0.236672,0.236085,0.235373,
0.235903,0.234889,0.235126,
0.232415,0.232447,0.232374,
0.230184,0.230361,0.231868,
0.233985,0.232843,0.233385,
0.233432,0.232425,0.231657,
0.236491,0.235534,0.236213,
0.236552,0.236646,0.236980,
0.233626,0.235011,0.231788,
0.233646,0.232133,0.232005,
0.231200,0.231061,0.231343,
0.236107,0.236541,0.237470,
0.232504,0.232480,0.232246,
0.235174,0.235602,0.235924,
0.234828,0.234207,0.234598,
0.236356,0.236257,0.235113,
0.235014,0.235474,0.236130,
0.237351,0.235490,0.236114,
0.234981,0.235010,0.234407,
0.235379,0.234480,0.234410,
0.235418,0.236002,0.235259,
0.233037,0.233314,0.232646,
0.231667,0.232569,0.233234,
0.238271,0.238861,0.239252,
0.235606,0.234300,0.235194,
0.232777,0.233441,0.234016,
0.230966,0.231746,0.233955,
0.234421,0.235001,0.234945,
0.234693,0.234327,0.235328,
0.232496,0.232244,0.233245,
0.235236,0.235490,0.235844,
0.234772,0.235050,0.234805,
0.234154,0.233629,0.233697,
0.234364,0.234573,0.234536,
0.235436,0.236105,0.235578,
0.232831,0.233765,0.232623,
0.231780,0.234657,0.232689,
0.233651,0.233594,0.233906,
0.233960,0.233196,0.233937,
0.232887,0.231699,0.231095,
0.232499,0.232518,0.233116,
0.234476,0.234405,0.235055,
0.237273,0.236162,0.237139,
0.232289,0.231737,0.231787,
0.235146,0.234962,0.235015,
0.234690,0.235205,0.235523,
0.232700,0.233269,0.232697,
0.231313,0.231496,0.231392,
0.229580,0.230989,0.232259,
0.234960,0.235920,0.234499,
0.234914,0.234402,0.235262,
0.233489,0.232917,0.233081,
0.233655,0.234413,0.233539,
0.235617,0.235768,0.236069,
0.236474,0.236656,0.236505,
0.238190,0.236481,0.236939,
0.232397,0.232004,0.232608,
0.234500,0.234819,0.235125,
0.234683,0.234768,0.235283,
0.233546,0.233412,0.233517,
0.238447,0.239294,0.240651,
0.231578,0.231792,0.232402,
0.234571,0.235243,0.235531,
0.233957,0.232928,0.233781,
0.237531,0.237265,0.236234,
0.234167,0.233818,0.233507,
0.233721,0.233957,0.233034,
0.234771,0.236275,0.235881,
0.234820,0.234952,0.235589,
0.233951,0.233471,0.232779,
0.234426,0.235128,0.234957,
0.234476,0.234419,0.234112,
0.234823,0.234765,0.235531,
0.232765,0.234290,0.233889,
0.232124,0.232039,0.233146,
0.232183,0.231628,0.231873,
0.232852,0.232736,0.233257,
0.235013,0.235646,0.235821,
0.234465,0.235653,0.235261,
0.235827,0.235281,0.236701,
0.231675,0.232521,0.232565,
0.234672,0.234219,0.234979,
0.235060,0.235391,0.235227,
0.234538,0.235427,0.236045,
0.231735,0.232304,0.233526,
0.229427,0.230921,0.230593,
0.236603,0.237082,0.236171,
0.234643,0.234588,0.234757,
0.231344,0.230985,0.231340,
0.233939,0.234502,0.235279,
0.235156,0.235917,0.236011,
0.232427,0.233440,0.233821,
0.236591,0.237151,0.236897,
0.235332,0.235260,0.236123,
0.234699,0.234426,0.235395,
0.236570,0.236816,0.236764,
0.235591,0.234796,0.235243,
0.237642,0.236986,0.238359,
0.236228,0.237173,0.237419,
0.237311,0.237277,0.237669,
0.236161,0.236086,0.236122,
0.235333,0.235034,0.236152,
0.234823,0.234511,0.234883,
0.238124,0.238189,0.238584,
0.235738,0.235569,0.235486,
0.236586,0.236607,0.236599,
0.233851,0.232448,0.232078,
0.234777,0.235396,0.234840,
0.235330,0.236105,0.236073,
0.231355,0.231431,0.231763,
0.233244,0.233169,0.234273,
0.234336,0.234519,0.234405,
0.234182,0.234653,0.234224,
0.234832,0.233780,0.233171,
0.234565,0.234746,0.234528,
0.234655,0.235201,0.234508,
0.237554,0.237776,0.237794,
0.235250,0.235006,0.235598,
0.234286,0.235088,0.234600,
0.234639,0.234799,0.234717,
0.235632,0.235163,0.235131,
0.236674,0.236404,0.236528,
0.231535,0.231385,0.231650,
0.233906,0.234011,0.234148,
0.235362,0.233723,0.233885,
0.234615,0.234940,0.235056,
0.233735,0.233821,0.233869,
0.233948,0.233910,0.234174,
0.231124,0.231250,0.230884,
0.235833,0.236264,0.235986,
0.234205,0.234530,0.234563,
