Irms1,Irms2,Irms3,
0.227352,0.227059,0.226504,
0.223340,0.224630,0.225731,
0.257983,0.258109,0.259864,
0.218652,0.219410,0.218843,
0.230074,0.230702,0.230411,
0.212509,0.212986,0.212243,
0.230566,0.230759,0.231130,
0.231702,0.231731,0.232209,
0.230140,0.230392,0.231218,
0.235441,0.235881,0.237663,
0.233646,0.233772,0.233319,
0.231313,0.230997,0.231784,
0.231609,0.231359,0.231586,
0.230726,0.231729,0.232404,
0.229437,0.231095,0.230699,
0.231801,0.232930,0.233084,
0.233424,0.234225,0.234650,
0.231109,0.230361,0.229616,
0.231349,0.231114,0.231260,
0.230562,0.229888,0.230582,
0.232465,0.232026,0.231610,
0.231138,0.231061,0.231561,
0.226489,0.226199,0.225838,
0.232687,0.233741,0.233299,
0.230368,0.231227,0.232051,
0.231660,0.231468,0.232556,
0.231006,0.230952,0.232551,
0.231603,0.231981,0.231972,
0.227703,0.228078,0.227282,
0.232374,0.231833,0.232598,
0.231868,0.231605,0.231320,
0.230878,0.230508,0.231012,
0.231051,0.231619,0.231035,
0.231741,0.231325,0.231147,
0.227449,0.226914,0.226207,
0.232616,0.232852,0.232998,
0.230502,0.230071,0.231215,
0.232441,0.232884,0.231158,
0.233139,0.232863,0.233119,
0.231181,0.231032,0.231081,
0.228487,0.228539,0.227940,
0.231801,0.233059,0.233071,
0.231096,0.231500,0.231445,
0.230003,0.228685,0.230090,
0.230960,0.231577,0.233056,
0.231215,0.231064,0.231572,
0.235125,0.235333,0.235176,
0.234065,0.234078,0.234178,
0.232298,0.231576,0.231152,
0.230941,0.231280,0.231367,
0.231342,0.231387,0.232184,
0.232086,0.233274,0.234882,
0.234720,0.235402,0.234118,
0.232650,0.233011,0.232821,
0.230593,0.231428,0.231755,
0.229890,0.229268,0.229580,
0.232984,0.232281,0.232362,
0.231371,0.231410,0.231671,
0.233709,0.235541,0.235254,
0.232688,0.231974,0.231983,
0.232397,0.233143,0.233609,
0.231887,0.232014,0.232255,
0.231312,0.231080,0.230796,
0.232000,0.232080,0.231894,
0.229660,0.228674,0.228665,
0.230481,0.230899,0.231074,
0.230349,0.231019,0.231145,
0.231823,0.231887,0.232381,
0.231353,0.231137,0.232744,
0.231521,0.230455,0.231451,
0.233595,0.232234,0.231393,
0.230343,0.230075,0.228056,
0.231400,0.232412,0.232213,
0.231407,0.230967,0.231138,
0.230339,0.229598,0.230376,
0.230606,0.230423,0.231959,
0.231126,0.230261,0.231470,
0.230755,0.228954,0.229008,
0.232261,0.232248,0.231999,
0.230488,0.231244,0.231051,
0.230437,0.229688,0.230077,
0.230617,0.229030,0.231106,
0.230810,0.230578,0.230949,
0.235298,0.234604,0.234450,
0.233138,0.233512,0.233831,
0.230909,0.231002,0.230989,
0.230394,0.231317,0.231945,
0.231176,0.232526,0.233574,
0.231330,0.230359,0.230477,
0.233433,0.234196,0.235509,
0.233381,0.234351,0.235257,
0.230529,0.229925,0.230458,
0.232819,0.232189,0.231993,
0.231123,0.232017,0.232619,
0.232367,0.231764,0.231514,
0.235025,0.235149,0.236343,
0.233485,0.233808,0.234149,
0.231318,0.231409,0.232269,
0.230031,0.229026,0.229023,
0.230758,0.231158,0.231035,
0.231855,0.231254,0.231260,
0.231009,0.231814,0.232026,
0.227157,0.226524,0.227020,
0.231469,0.231934,0.232883,
0.231651,0.231866,0.232803,
0.232628,0.231188,0.231066,
0.231850,0.231142,0.230226,
0.230317,0.230267,0.230760,
0.230183,0.230407,0.232142,
0.232215,0.231964,0.232090,
0.232434,0.230663,0.231202,
0.230218,0.230021,0.231439,
0.231701,0.230935,0.232164,
0.231584,0.231030,0.231254,
0.225637,0.224934,0.225316,
0.232511,0.233708,0.233838,
0.229116,0.230551,0.231566,
0.230895,0.230949,0.231126,
0.231251,0.230761,0.231867,
0.230910,0.230735,0.231454,
0.221814,0.221838,0.223648,
0.232874,0.232307,0.232795,
0.231180,0.231292,0.231830,
0.230778,0.231667,0.231825,
0.230462,0.230240,0.230363,
0.232538,0.232104,0.231896,
0.228437,0.228340,0.227497,
0.233434,0.233847,0.234474,
0.230497,0.228892,0.230717,
0.233025,0.232825,0.231978,
0.230906,0.230144,0.231507,
0.230908,0.229384,0.231057,
0.233533,0.232917,0.233129,
0.232471,0.232718,0.232947,
0.229718,0.231044,0.231474,
0.230750,0.232233,0.231967,
0.230688,0.230668,0.231301,
0.229363,0.231724,0.230783,
0.236244,0.236147,0.236746,
0.233218,0.233431,0.233209,
0.231753,0.230778,0.230974,
0.229606,0.229693,0.229006,
0.229427,0.229697,0.232378,
0.231455,0.232550,0.233224,
0.232993,0.233278,0.233745,
0.235086,0.235642,0.233486,
0.231421,0.231344,0.230958,
0.230358,0.230557,0.230626,
0.231393,0.230915,0.230511,
0.231842,0.231860,0.231930,
0.231148,0.229615,0.229395,
0.231311,0.230618,0.231649,
0.230517,0.230328,0.230962,
0.232167,0.233026,0.233438,
0.232745,0.231302,0.231533,
0.233475,0.232483,0.231613,
0.232378,0.232552,0.233805,
0.227533,0.227661,0.227786,
0.232160,0.231790,0.231814,
0.230795,0.231378,0.232790,
0.230893,0.231606,0.233886,
0.231652,0.233089,0.233443,
0.233255,0.234589,0.233014,
0.222272,0.221534,0.223534,
0.232033,0.232695,0.232006,
0.232135,0.231186,0.231897,
0.231142,0.231180,0.231023,
0.231861,0.233606,0.231652,
0.231108,0.230662,0.230387,
0.226881,0.226912,0.227054,
0.231714,0.231799,0.232691,
0.231702,0.231415,0.231382,
0.230210,0.229703,0.229975,
0.231866,0.230660,0.229049,
0.231661,0.231426,0.231635,
0.234726,0.234040,0.233036,
0.231649,0.231805,0.232463,
0.231238,0.232679,0.233384,
0.232005,0.231703,0.232367,
0.232837,0.231372,0.231337,
0.230970,0.231596,0.231716,
0.236482,0.236009,0.235839,
0.234660,0.234586,0.234540,
0.232160,0.232035,0.230969,
0.231989,0.231726,0.231896,
0.232100,0.232995,0.232550,
0.231709,0.232148,0.231231,
